VehID,DepartedTime,ArrivedTime,RouteID,TravelTime,AverageSpeed
04.0,7.000000,33.000000,route1B,26.000000,12.307692
03.0,1.000000,34.000000,route1A,33.000000,9.696970
07.0,2.000000,34.000000,route3A,32.000000,10.000000
09.0,5.000000,34.000000,route4A,29.000000,11.034483
08.0,7.000000,34.000000,route3B,27.000000,11.851852
06.0,1.000000,35.000000,route2B,34.000000,9.411765
06.1,4.000000,35.000000,route2B,31.000000,10.322581
03.1,8.000000,36.000000,route1A,28.000000,11.428571
07.1,8.000000,38.000000,route3A,30.000000,10.666667
03.2,11.000000,38.000000,route1A,27.000000,11.851852
08.1,10.000000,40.000000,route3B,30.000000,10.666667
04.1,15.000000,43.000000,route1B,28.000000,11.428571
09.2,34.000000,62.000000,route4A,28.000000,11.428571
03.3,35.000000,62.000000,route1A,27.000000,11.851852
07.3,32.000000,63.000000,route3A,31.000000,10.322581
10.1,37.000000,63.000000,route4B,26.000000,12.307692
10.0,21.000000,64.000000,route4B,43.000000,7.441860
06.2,25.000000,64.000000,route2B,39.000000,8.205128
06.3,32.000000,64.000000,route2B,32.000000,10.000000
04.3,21.000000,65.000000,route1B,44.000000,7.272727
05.1,25.000000,65.000000,route2A,40.000000,8.000000
04.2,18.000000,66.000000,route1B,48.000000,6.666667
05.0,19.000000,66.000000,route2A,47.000000,6.808511
04.4,25.000000,66.000000,route1B,41.000000,7.804878
07.4,35.000000,66.000000,route3A,31.000000,10.322581
07.2,16.000000,67.000000,route3A,51.000000,6.274510
05.2,28.000000,67.000000,route2A,39.000000,8.205128
09.1,31.000000,67.000000,route4A,36.000000,8.888889
04.5,31.000000,68.000000,route1B,37.000000,8.648649
06.4,35.000000,68.000000,route2B,33.000000,9.696970
04.6,38.000000,68.000000,route1B,30.000000,10.666667
06.5,38.000000,68.000000,route2B,30.000000,10.666667
03.4,41.000000,68.000000,route1A,27.000000,11.851852
05.3,40.000000,69.000000,route2A,29.000000,11.034483
04.7,43.000000,70.000000,route1B,27.000000,11.851852
07.5,45.000000,74.000000,route3A,29.000000,11.034483
04.8,48.000000,94.000000,route1B,46.000000,6.956522
05.4,50.000000,94.000000,route2A,44.000000,7.272727
04.9,60.000000,94.000000,route1B,34.000000,9.411765
03.5,66.000000,94.000000,route1A,28.000000,11.428571
06.6,47.000000,95.000000,route2B,48.000000,6.666667
06.7,50.000000,95.000000,route2B,45.000000,7.111111
10.2,54.000000,95.000000,route4B,41.000000,7.804878
09.3,57.000000,95.000000,route4A,38.000000,8.421053
07.6,60.000000,95.000000,route3A,35.000000,9.142857
03.6,69.000000,95.000000,route1A,26.000000,12.307692
04.11,66.000000,96.000000,route1B,30.000000,10.666667
06.9,65.000000,96.000000,route2B,31.000000,10.322581
