VehID,DepartedTime,ArrivedTime,RouteID,TravelTime,AverageSpeed
03.0,1.000000,27.000000,route1A,26.000000,12.307692
06.0,1.000000,35.000000,route2B,34.000000,9.411765
06.1,4.000000,36.000000,route2B,32.000000,10.000000
07.0,8.000000,37.000000,route3A,29.000000,11.034483
07.1,16.000000,41.000000,route3A,25.000000,12.800000
04.1,15.000000,49.000000,route1B,34.000000,9.411765
04.0,7.000000,51.000000,route1B,44.000000,7.272727
03.1,10.000000,51.000000,route1A,41.000000,7.804878
04.2,18.000000,51.000000,route1B,33.000000,9.696970
04.3,21.000000,53.000000,route1B,32.000000,10.000000
04.4,25.000000,55.000000,route1B,30.000000,10.666667
04.5,31.000000,57.000000,route1B,26.000000,12.307692
05.1,28.000000,63.000000,route2A,35.000000,9.142857
10.1,37.000000,64.000000,route4B,27.000000,11.851852
09.0,32.000000,65.000000,route4A,33.000000,9.696970
10.0,21.000000,66.000000,route4B,45.000000,7.111111
06.2,25.000000,66.000000,route2B,41.000000,7.804878
05.0,25.000000,67.000000,route2A,42.000000,7.619048
07.2,45.000000,74.000000,route3A,29.000000,11.034483
04.6,38.000000,78.000000,route1B,40.000000,8.000000
04.7,48.000000,79.000000,route1B,31.000000,10.322581
04.8,60.000000,91.000000,route1B,31.000000,10.322581
06.4,66.000000,93.000000,route2B,27.000000,11.851852
05.2,50.000000,94.000000,route2A,44.000000,7.272727
06.3,50.000000,94.000000,route2B,44.000000,7.272727
09.1,57.000000,96.000000,route4A,39.000000,8.205128
07.3,60.000000,96.000000,route3A,36.000000,8.888889
08.0,74.000000,102.000000,route3B,28.000000,11.428571
01.1,5.000000,109.000000,route1,104.000000,7.980769
01.2,8.000000,109.000000,route1,101.000000,8.217822
04.9,63.000000,109.000000,route1B,46.000000,6.956522
03.2,71.000000,109.000000,route1A,38.000000,8.421053
03.3,81.000000,110.000000,route1A,29.000000,11.034483
01.0,2.000000,111.000000,route1,109.000000,7.614679
01.3,11.000000,111.000000,route1,100.000000,8.300000
01.4,17.000000,113.000000,route1,96.000000,8.645833
04.10,87.000000,114.000000,route1B,27.000000,11.851852
04.11,90.000000,118.000000,route1B,28.000000,11.428571
02.0,13.000000,121.000000,route2,108.000000,7.685185
02.3,25.000000,121.000000,route2,96.000000,8.645833
08.1,98.000000,123.000000,route3B,25.000000,12.800000
02.4,28.000000,124.000000,route2,96.000000,8.645833
07.4,84.000000,124.000000,route3A,40.000000,8.000000
09.2,80.000000,125.000000,route4A,45.000000,7.111111
10.2,83.000000,125.000000,route4B,42.000000,7.619048
05.3,91.000000,125.000000,route2A,34.000000,9.411765
05.4,98.000000,125.000000,route2A,27.000000,11.851852
09.3,98.000000,125.000000,route4A,27.000000,11.851852
02.1,19.000000,127.000000,route2,108.000000,7.685185
02.5,31.000000,128.000000,route2,97.000000,8.556701
02.2,22.000000,130.000000,route2,108.000000,7.685185
10.3,107.000000,132.000000,route4B,25.000000,12.800000
01.5,24.000000,139.000000,route1,115.000000,7.217391
03.4,108.000000,139.000000,route1A,31.000000,10.322581
01.6,27.000000,140.000000,route1,113.000000,7.345133
04.12,97.000000,140.000000,route1B,43.000000,7.441860
01.10,41.000000,141.000000,route1,100.000000,8.300000
01.7,30.000000,143.000000,route1,113.000000,7.345133
04.13,115.000000,143.000000,route1B,28.000000,11.428571
01.8,33.000000,144.000000,route1,111.000000,7.477477
01.9,38.000000,144.000000,route1,106.000000,7.830189
01.13,61.000000,144.000000,route1,83.000000,10.000000
01.11,44.000000,146.000000,route1,102.000000,8.137255
02.6,34.000000,151.000000,route2,117.000000,7.094017
02.7,37.000000,151.000000,route2,114.000000,7.280702
02.8,40.000000,154.000000,route2,114.000000,7.280702
08.3,122.000000,154.000000,route3B,32.000000,10.000000
05.5,108.000000,155.000000,route2A,47.000000,6.808511
08.4,125.000000,155.000000,route3B,30.000000,10.666667
02.9,43.000000,156.000000,route2,113.000000,7.345133
08.5,128.000000,156.000000,route3B,28.000000,11.428571
02.10,49.000000,157.000000,route2,108.000000,7.685185
08.2,119.000000,157.000000,route3B,38.000000,8.421053
02.11,57.000000,159.000000,route2,102.000000,8.137255
05.6,133.000000,161.000000,route2A,28.000000,11.428571
03.5,128.000000,169.000000,route1A,41.000000,7.804878
03.6,131.000000,169.000000,route1A,38.000000,8.421053
04.15,138.000000,169.000000,route1B,31.000000,10.322581
01.12,52.000000,170.000000,route1,118.000000,7.033898
01.14,67.000000,170.000000,route1,103.000000,8.058252
04.14,133.000000,171.000000,route1B,38.000000,8.421053
01.15,80.000000,172.000000,route1,92.000000,9.021739
03.7,148.000000,174.000000,route1A,26.000000,12.307692
03.8,151.000000,180.000000,route1A,29.000000,11.034483
02.12,66.000000,181.000000,route2,115.000000,7.217391
02.14,74.000000,182.000000,route2,108.000000,7.685185
09.5,156.000000,182.000000,route4A,26.000000,12.307692
08.6,156.000000,182.000000,route3B,26.000000,12.307692
09.4,153.000000,183.000000,route4A,30.000000,10.666667
02.15,79.000000,184.000000,route2,105.000000,7.904762
02.16,82.000000,184.000000,route2,102.000000,8.137255
06.5,140.000000,184.000000,route2B,44.000000,7.272727
10.4,140.000000,184.000000,route4B,44.000000,7.272727
06.6,143.000000,185.000000,route2B,42.000000,7.619048
10.5,143.000000,185.000000,route4B,42.000000,7.619048
02.18,88.000000,186.000000,route2,98.000000,8.469388
10.6,152.000000,186.000000,route4B,34.000000,9.411765
02.13,71.000000,190.000000,route2,119.000000,6.974790
02.17,85.000000,192.000000,route2,107.000000,7.757009
03.11,168.000000,198.000000,route1A,30.000000,10.666667
03.10,157.000000,199.000000,route1A,42.000000,7.619048
