VehID,DepartedTime,ArrivedTime,RouteID,TravelTime,AverageSpeed
03.0,1.000000,34.000000,route1A,33.000000,9.696970
06.0,1.000000,40.000000,route2B,39.000000,8.205128
01.0,2.000000,80.000000,route1,78.000000,10.641026
07.0,2.000000,28.000000,route3A,26.000000,12.307692
02.0,4.000000,99.000000,route2,95.000000,8.736842
06.1,4.000000,41.000000,route2B,37.000000,8.648649
01.1,5.000000,97.000000,route1,92.000000,9.021739
09.0,5.000000,34.000000,route4A,29.000000,11.034483
04.0,7.000000,33.000000,route1B,26.000000,12.307692
08.0,7.000000,34.000000,route3B,27.000000,11.851852
01.2,8.000000,88.000000,route1,80.000000,10.375000
02.1,8.000000,99.000000,route2,91.000000,9.120879
03.1,8.000000,45.000000,route1A,37.000000,8.648649
07.1,8.000000,38.000000,route3A,30.000000,10.666667
08.1,10.000000,40.000000,route3B,30.000000,10.666667
01.3,11.000000,101.000000,route1,90.000000,9.222222
02.2,11.000000,102.000000,route2,91.000000,9.120879
03.2,11.000000,45.000000,route1A,34.000000,9.411765
01.4,14.000000,100.000000,route1,86.000000,9.651163
02.3,14.000000,104.000000,route2,90.000000,9.222222
04.1,15.000000,43.000000,route1B,28.000000,11.428571
07.2,16.000000,48.000000,route3A,32.000000,10.000000
01.5,17.000000,103.000000,route1,86.000000,9.651163
04.2,18.000000,62.000000,route1B,44.000000,7.272727
02.4,18.000000,104.000000,route2,86.000000,9.651163
05.0,19.000000,48.000000,route2A,29.000000,11.034483
01.6,20.000000,115.000000,route1,95.000000,8.736842
02.5,21.000000,100.000000,route2,79.000000,10.506329
04.3,21.000000,60.000000,route1B,39.000000,8.205128
10.0,21.000000,46.000000,route4B,25.000000,12.800000
01.7,23.000000,121.000000,route1,98.000000,8.469388
02.6,24.000000,102.000000,route2,78.000000,10.641026
04.4,25.000000,70.000000,route1B,45.000000,7.111111
05.1,25.000000,60.000000,route2A,35.000000,9.142857
06.2,25.000000,59.000000,route2B,34.000000,9.411765
